id,text,label,sentiment
103,Observation: The campus lighting safety is functional and functions adequately. in recent months.,1,neutral
104,Why is the professor teaching methods so unacceptable? It needs immediate attention. for most students.,0,negative
105,"The residence hall policies is in a annoying condition, affecting students negatively. for my department.",0,negative
106,"Regarding student advising support, it’s unremarkable and fairly standard. across campus.",1,neutral
107,I'm frustrated by the annoying course material accessibility; it’s below expectations. every week.,0,negative
108,The campus cleanliness is delightful and greatly enhances my campus life. this semester.,2,positive
109,Feedback: The exam grading fairness is unremarkable and meets basic needs. during peak hours.,1,neutral
110,The inadequate state of group project coordination is hindering my campus experience. this semester.,0,negative
111,"The recreational space availability is in a poor condition, affecting students negatively. in my opinion.",0,negative
112,The professor teaching methods is outstanding and greatly enhances my campus life. compared to other campuses.,2,positive
113,I’m impressed by the outstanding group project coordination; keep it up! in my opinion.,2,positive
114,I'm neglected with the shuttle bus reliability; it disrupts my daily routine. across campus.,0,negative
115,Observation: The class scheduling conflicts is decent and functions adequately. for my department.,1,neutral
116,"The recreational space availability is satisfying, contributing positively to campus. every week.",2,positive
117,Why is the campus cleanliness so annoying? It needs immediate attention. for most students.,0,negative
118,"The campus parking system is great, making my experience enjoyable. this semester.",2,positive
119,Complaint: The professor teaching methods is horrible and poorly maintained. every week.,0,negative
120,Observation: The library resource availability is ordinary and functions adequately. every week.,1,neutral
121,"The group project coordination is fair, but could use slight improvements. in my experience.",1,neutral
122,"Regarding campus cleanliness, it’s functional and fairly standard. for my department.",1,neutral
123,"Regarding residence hall policies, it’s adequate and fairly standard. for my department.",1,neutral
124,"The course material accessibility is sufficient, but could use slight improvements. compared to other campuses.",1,neutral
125,"Regarding dorm internet speed, it’s decent and fairly standard. during peak hours.",1,neutral
126,I appreciate the fantastic management of exam grading fairness. this semester.,2,positive
127,I'm chaotic with the professor teaching methods; it disrupts my daily routine. compared to other campuses.,0,negative
128,"The course registration process is fantastic, contributing positively to campus. during peak hours.",2,positive
129,"The course registration process is in a inadequate condition, affecting students negatively. compared to other campuses.",0,negative
130,I'm frustrating with the campus parking system; it disrupts my daily routine. compared to other campuses.,0,negative
131,Observation: The health center services is average and functions adequately. during peak hours.,1,neutral
132,The residence hall policies is superb and greatly enhances my campus life. every week.,2,positive
133,Observation: The career services support is standard and functions adequately. in my opinion.,1,neutral
134,Why is the campus lighting safety so dreadful? It needs immediate attention. every week.,0,negative
135,Observation: The health center services is functional and functions adequately. for new students.,1,neutral
136,The course registration process is excellent and exceeds all expectations. for most students.,2,positive
137,"The financial aid processing is brilliant, making my experience enjoyable. in my opinion.",2,positive
138,Kudos for the exceptional course registration process – it’s a campus highlight. this semester.,2,positive
139,The dorm internet speed is superb and exceeds all expectations. during peak hours.,2,positive
140,Why is the lab equipment functionality so terrible? It needs immediate attention. across campus.,0,negative
141,"The gym equipment condition is ordinary, serving its purpose for now. in my experience.",1,neutral
142,The financial aid processing is frustrating and urgently needs better management. based on feedback.,0,negative
143,I appreciate the exceptional management of course material accessibility. for new students.,2,positive
144,Love the top-notch course registration process; it’s one of the best here. in my opinion.,2,positive
145,I'm frustrated by the chaotic course registration process; it’s below expectations. compared to other campuses.,0,negative
146,The food court hygiene is chaotic and urgently needs better management. during peak hours.,0,negative
147,The classroom technology is superb and greatly enhances my campus life. for new students.,2,positive
148,Complaint: The food court hygiene is poor and poorly maintained. for most students.,0,negative
149,"The health center services is fair, serving its purpose for now. based on feedback.",1,neutral
150,Observation: The residence hall policies is typical and functions adequately. for new students.,1,neutral
151,Why is the course registration process so inadequate? It needs immediate attention. every week.,0,negative
152,I'm frustrated by the unreliable campus security measures; it’s below expectations. for my department.,0,negative
153,I appreciate the exceptional management of dorm internet speed. in recent months.,2,positive
154,"The recreational space availability is standard, serving its purpose for now. in recent months.",1,neutral
155,"The library resource availability is fantastic, making my experience enjoyable. during peak hours.",2,positive
156,Feedback: The dorm internet speed is moderate and meets basic needs. for most students.,1,neutral
157,I'm horrible with the cafeteria food quality; it disrupts my daily routine. in recent months.,0,negative
158,"I find the food court hygiene to be moderate, nothing exceptional. every week.",1,neutral
159,The lab equipment functionality is superb and exceeds all expectations. in recent months.,2,positive
160,"The shuttle bus reliability is ordinary, but there's room for enhancement. for my department.",1,neutral
161,I'm frustrating with the sports facility access; it disrupts my daily routine. compared to other campuses.,0,negative
162,Why is the group project coordination so poor? It needs immediate attention. in my opinion.,0,negative
163,The dorm internet speed is outstanding and greatly enhances my campus life. this semester.,2,positive
164,Observation: The sports facility access is adequate and functions adequately. based on feedback.,1,neutral
165,"Regarding health center services, it’s ordinary and fairly standard. in my experience.",1,neutral
166,The inconvenient state of campus parking system is hindering my campus experience. during peak hours.,0,negative
167,Love the excellent health center services; it’s one of the best here. in my opinion.,2,positive
168,The dorm room maintenance is chaotic and urgently needs better management. this semester.,0,negative
169,I appreciate the reliable management of cafeteria food quality. this semester.,2,positive
170,I'm inconvenient with the campus security measures; it disrupts my daily routine. this semester.,0,negative
171,"The class scheduling conflicts is adequate, but there's room for enhancement. in my experience.",1,neutral
172,"The wifi network stability is unremarkable, but could use slight improvements. in my opinion.",1,neutral
173,The classroom technology is exceptional and greatly enhances my campus life. compared to other campuses.,2,positive
174,Observation: The group project coordination is acceptable and functions adequately. for my department.,1,neutral
175,"The course material accessibility is dreadful, causing constant inconvenience. this semester.",0,negative
176,"Regarding campus lighting safety, it’s standard and fairly standard. in my experience.",1,neutral
177,Complaint: The wifi network stability is horrible and poorly maintained. across campus.,0,negative
178,"The residence hall policies is ordinary, serving its purpose for now. for new students.",1,neutral
179,Why is the shuttle bus reliability so neglected? It needs immediate attention. this semester.,0,negative
180,"The dorm room maintenance is amazing, making my experience enjoyable. compared to other campuses.",2,positive
181,"The student advising support is excellent, contributing positively to campus. for my department.",2,positive
182,"The sports facility access is great, making my experience enjoyable. compared to other campuses.",2,positive
183,"The exam grading fairness is fair, but could use slight improvements. across campus.",1,neutral
184,"The campus parking system is in a horrible condition, affecting students negatively. compared to other campuses.",0,negative
185,"The wifi network stability is typical, but there's room for enhancement. across campus.",1,neutral
186,"I find the classroom technology to be adequate, nothing exceptional. in my opinion.",1,neutral
187,I’m impressed by the reliable course material accessibility; keep it up! across campus.,2,positive
188,"The residence hall policies is unreliable, causing constant inconvenience. in recent months.",0,negative
189,Observation: The residence hall policies is ordinary and functions adequately. this semester.,1,neutral
190,I appreciate the delightful management of cafeteria food quality. during peak hours.,2,positive
191,I'm frustrated by the inconvenient campus cleanliness; it’s below expectations. every week.,0,negative
192,"The recreational space availability is adequate, but could use slight improvements. every week.",1,neutral
193,Love the superb sports facility access; it’s one of the best here. based on feedback.,2,positive
194,"The campus security measures is basic, but there's room for enhancement. compared to other campuses.",1,neutral
195,The chaotic state of library resource availability is hindering my campus experience. every week.,0,negative
196,I'm frustrating with the dorm internet speed; it disrupts my daily routine. in my opinion.,0,negative
197,I appreciate the delightful management of exam grading fairness. every week.,2,positive
198,The lab equipment functionality is superb and greatly enhances my campus life. for new students.,2,positive
199,"The lab equipment functionality is acceptable, serving its purpose for now. compared to other campuses.",1,neutral
200,Love the impressive campus lighting safety; it’s one of the best here. this semester.,2,positive
201,I'm frustrated by the unreliable tuition fee structure; it’s below expectations. based on feedback.,0,negative
202,The campus parking system is exceptional and exceeds all expectations. for new students.,2,positive
203,"The wifi network stability is outstanding, contributing positively to campus. for most students.",2,positive
204,Why is the residence hall policies so awful? It needs immediate attention. for new students.,0,negative
205,The dorm room maintenance is superb and greatly enhances my campus life. across campus.,2,positive
206,"The classroom technology is in a awful condition, affecting students negatively. for my department.",0,negative
207,The financial aid processing is satisfying and greatly enhances my campus life. in my opinion.,2,positive
208,"The class scheduling conflicts is in a substandard condition, affecting students negatively. for new students.",0,negative
209,I’m impressed by the brilliant group project coordination; keep it up! for new students.,2,positive
210,"The group project coordination is substandard, causing constant inconvenience. for my department.",0,negative
211,"The professor teaching methods seems unremarkable, no major issues to report. for new students.",1,neutral
212,I'm disappointing with the exam grading fairness; it disrupts my daily routine. compared to other campuses.,0,negative
213,Feedback: The gym equipment condition is adequate and meets basic needs. across campus.,1,neutral
214,"The classroom technology is sufficient, but there's room for enhancement. during peak hours.",1,neutral
215,"The exam grading fairness is standard, serving its purpose for now. in recent months.",1,neutral
216,I appreciate the commendable management of classroom technology. during peak hours.,2,positive
217,"The dorm room maintenance is in a inconvenient condition, affecting students negatively. across campus.",0,negative
218,The campus parking system is exceptional and greatly enhances my campus life. in my opinion.,2,positive
219,"The group project coordination is in a frustrating condition, affecting students negatively. for most students.",0,negative
220,I'm frustrated by the disappointing financial aid processing; it’s below expectations. in my opinion.,0,negative
221,I'm frustrated by the inconvenient tuition fee structure; it’s below expectations. for new students.,0,negative
222,"The campus lighting safety is functional, serving its purpose for now. every week.",1,neutral
223,I’m impressed by the commendable campus event organization; keep it up! every week.,2,positive
224,"The student lounge comfort is superb, making my experience enjoyable. for my department.",2,positive
225,"The lab equipment functionality seems acceptable, no major issues to report. compared to other campuses.",1,neutral
226,I'm frustrated by the inconvenient dorm room maintenance; it’s below expectations. in my opinion.,0,negative
227,I’m impressed by the top-notch health center services; keep it up! in my experience.,2,positive
228,"Regarding wifi network stability, it’s decent and fairly standard. in my experience.",1,neutral
229,I'm frustrated by the dreadful cafeteria food quality; it’s below expectations. for my department.,0,negative
230,"The campus security measures is reliable, making my experience enjoyable. this semester.",2,positive
231,"The course registration process is in a chaotic condition, affecting students negatively. based on feedback.",0,negative
232,The cafeteria food quality is poor and urgently needs better management. compared to other campuses.,0,negative
233,"The financial aid processing is in a unreliable condition, affecting students negatively. in recent months.",0,negative
234,Kudos for the commendable campus security measures – it’s a campus highlight. for new students.,2,positive
235,"The shuttle bus reliability is substandard, causing constant inconvenience. in my experience.",0,negative
236,Complaint: The campus security measures is terrible and poorly maintained. every week.,0,negative
237,Feedback: The financial aid processing is acceptable and meets basic needs. for new students.,1,neutral
238,"The campus security measures is in a dreadful condition, affecting students negatively. for new students.",0,negative
239,I'm inconvenient with the exam grading fairness; it disrupts my daily routine. in recent months.,0,negative
240,The student advising support is superb and greatly enhances my campus life. for my department.,2,positive
241,The neglected state of course material accessibility is hindering my campus experience. in my opinion.,0,negative
242,"The campus parking system seems average, no major issues to report. during peak hours.",1,neutral
243,"I find the health center services to be unremarkable, nothing exceptional. during peak hours.",1,neutral
244,"Regarding tuition fee structure, it’s average and fairly standard. for new students.",1,neutral
245,Why is the recreational space availability so poor? It needs immediate attention. this semester.,0,negative
246,"The health center services is adequate, serving its purpose for now. across campus.",1,neutral
247,I’m impressed by the top-notch campus event organization; keep it up! during peak hours.,2,positive
248,"The class scheduling conflicts is decent, but there's room for enhancement. for my department.",1,neutral
249,The recreational space availability is exceptional and greatly enhances my campus life. for new students.,2,positive
250,Complaint: The residence hall policies is disappointing and poorly maintained. for my department.,0,negative
251,I’m impressed by the satisfying classroom technology; keep it up! based on feedback.,2,positive
252,"Regarding classroom technology, it’s acceptable and fairly standard. for my department.",1,neutral
253,"Regarding gym equipment condition, it’s adequate and fairly standard. in my experience.",1,neutral
254,"The library resource availability is awful, causing constant inconvenience. across campus.",0,negative
255,Feedback: The food court hygiene is typical and meets basic needs. compared to other campuses.,1,neutral
256,Feedback: The career services support is decent and meets basic needs. compared to other campuses.,1,neutral
257,"The dorm internet speed is exceptional, contributing positively to campus. every week.",2,positive
258,The wifi network stability is amazing and exceeds all expectations. every week.,2,positive
259,Love the fantastic course registration process; it’s one of the best here. every week.,2,positive
260,The library resource availability is chaotic and urgently needs better management. for my department.,0,negative
261,"The group project coordination is basic, serving its purpose for now. based on feedback.",1,neutral
262,"The campus security measures seems typical, no major issues to report. in recent months.",1,neutral
263,"The campus parking system is passable, but could use slight improvements. in my experience.",1,neutral
264,The shuttle bus reliability is substandard and urgently needs better management. compared to other campuses.,0,negative
265,The library resource availability is excellent and exceeds all expectations. during peak hours.,2,positive
266,Complaint: The campus cleanliness is awful and poorly maintained. every week.,0,negative
267,I'm inconvenient with the wifi network stability; it disrupts my daily routine. for most students.,0,negative
268,Love the reliable exam grading fairness; it’s one of the best here. for most students.,2,positive
269,Feedback: The tuition fee structure is average and meets basic needs. in recent months.,1,neutral
270,"The group project coordination is adequate, but there's room for enhancement. during peak hours.",1,neutral
271,"The gym equipment condition seems unremarkable, no major issues to report. across campus.",1,neutral
272,I’m impressed by the outstanding gym equipment condition; keep it up! during peak hours.,2,positive
273,"The course registration process is sufficient, but could use slight improvements. across campus.",1,neutral
274,I appreciate the excellent management of financial aid processing. in my experience.,2,positive
275,"The tuition fee structure is adequate, serving its purpose for now. for my department.",1,neutral
276,The inadequate state of group project coordination is hindering my campus experience. during peak hours.,0,negative
277,Complaint: The health center services is chaotic and poorly maintained. for new students.,0,negative
278,Why is the campus security measures so neglected? It needs immediate attention. for my department.,0,negative
279,I'm frustrated by the frustrating career services support; it’s below expectations. for my department.,0,negative
280,Feedback: The lab equipment functionality is typical and meets basic needs. in my experience.,1,neutral
281,"I find the dorm internet speed to be standard, nothing exceptional. compared to other campuses.",1,neutral
282,Complaint: The student advising support is disappointing and poorly maintained. in recent months.,0,negative
283,I'm frustrated by the disappointing sports facility access; it’s below expectations. compared to other campuses.,0,negative
284,Why is the course material accessibility so unreliable? It needs immediate attention. for new students.,0,negative
285,"I find the campus parking system to be standard, nothing exceptional. every week.",1,neutral
286,"I find the cafeteria food quality to be sufficient, nothing exceptional. every week.",1,neutral
287,"The shuttle bus reliability is adequate, serving its purpose for now. for my department.",1,neutral
288,"Regarding campus cleanliness, it’s moderate and fairly standard. this semester.",1,neutral
289,"The dorm room maintenance seems average, no major issues to report. for most students.",1,neutral
290,"Regarding course material accessibility, it’s ordinary and fairly standard. in my opinion.",1,neutral
291,"The dorm internet speed is exceptional, making my experience enjoyable. based on feedback.",2,positive
292,I'm inadequate with the wifi network stability; it disrupts my daily routine. based on feedback.,0,negative
293,"The campus security measures is average, but could use slight improvements. every week.",1,neutral
294,Kudos for the wonderful group project coordination – it’s a campus highlight. every week.,2,positive
295,"The dorm internet speed is acceptable, serving its purpose for now. in my experience.",1,neutral
296,Kudos for the great library resource availability – it’s a campus highlight. during peak hours.,2,positive
297,Feedback: The course registration process is fair and meets basic needs. based on feedback.,1,neutral
298,Feedback: The course material accessibility is unremarkable and meets basic needs. across campus.,1,neutral
299,The poor state of library resource availability is hindering my campus experience. in my opinion.,0,negative
300,I'm unreliable with the class scheduling conflicts; it disrupts my daily routine. this semester.,0,negative
301,"The campus security measures is brilliant, making my experience enjoyable. for my department.",2,positive
302,"The exam grading fairness is in a horrible condition, affecting students negatively. every week.",0,negative
303,"I find the wifi network stability to be adequate, nothing exceptional. during peak hours.",1,neutral
304,I'm substandard with the recreational space availability; it disrupts my daily routine. in recent months.,0,negative
305,I'm frustrated by the poor campus cleanliness; it’s below expectations. this semester.,0,negative
306,The food court hygiene is reliable and greatly enhances my campus life. for my department.,2,positive
307,"Regarding class scheduling conflicts, it’s adequate and fairly standard. in my opinion.",1,neutral
308,"I find the health center services to be fair, nothing exceptional. for my department.",1,neutral
309,Love the amazing course material accessibility; it’s one of the best here. this semester.,2,positive
310,I’m impressed by the fantastic campus parking system; keep it up! for new students.,2,positive
311,"The library resource availability is average, but could use slight improvements. every week.",1,neutral
312,The career services support is great and exceeds all expectations. based on feedback.,2,positive
313,"The student lounge comfort is in a inconvenient condition, affecting students negatively. in my opinion.",0,negative
314,The cafeteria food quality is chaotic and urgently needs better management. for most students.,0,negative
315,I'm horrible with the lab equipment functionality; it disrupts my daily routine. for new students.,0,negative
316,"The lab equipment functionality is passable, but there's room for enhancement. this semester.",1,neutral
317,"The lab equipment functionality is superb, contributing positively to campus. compared to other campuses.",2,positive
318,Why is the professor teaching methods so inconvenient? It needs immediate attention. in recent months.,0,negative
319,Observation: The campus security measures is adequate and functions adequately. every week.,1,neutral
320,The campus lighting safety is amazing and greatly enhances my campus life. based on feedback.,2,positive
321,"The campus parking system seems basic, no major issues to report. in recent months.",1,neutral
322,Love the wonderful campus parking system; it’s one of the best here. across campus.,2,positive
323,"The dorm room maintenance is delightful, contributing positively to campus. for most students.",2,positive
324,Love the brilliant classroom technology; it’s one of the best here. for new students.,2,positive
325,"The food court hygiene is basic, serving its purpose for now. for new students.",1,neutral
326,I appreciate the top-notch management of campus event organization. every week.,2,positive
327,Feedback: The class scheduling conflicts is passable and meets basic needs. in my opinion.,1,neutral
328,The cafeteria food quality is superb and exceeds all expectations. during peak hours.,2,positive
329,The dorm room maintenance is outstanding and greatly enhances my campus life. based on feedback.,2,positive
330,Observation: The dorm internet speed is manageable and functions adequately. across campus.,1,neutral
331,"Regarding tuition fee structure, it’s basic and fairly standard. for most students.",1,neutral
332,I’m impressed by the wonderful exam grading fairness; keep it up! in my opinion.,2,positive
333,"The recreational space availability is adequate, but there's room for enhancement. in recent months.",1,neutral
334,Kudos for the outstanding campus security measures – it’s a campus highlight. for my department.,2,positive
335,Love the delightful dorm internet speed; it’s one of the best here. for my department.,2,positive
336,"The library resource availability is substandard, causing constant inconvenience. compared to other campuses.",0,negative
337,I’m impressed by the satisfying course material accessibility; keep it up! this semester.,2,positive
338,"The gym equipment condition is sufficient, but there's room for enhancement. in my experience.",1,neutral
339,The library resource availability is brilliant and greatly enhances my campus life. for most students.,2,positive
340,Observation: The cafeteria food quality is ordinary and functions adequately. compared to other campuses.,1,neutral
341,I’m impressed by the brilliant residence hall policies; keep it up! for most students.,2,positive
342,I appreciate the amazing management of financial aid processing. this semester.,2,positive
343,The horrible state of campus security measures is hindering my campus experience. based on feedback.,0,negative
344,I'm unacceptable with the career services support; it disrupts my daily routine. compared to other campuses.,0,negative
345,"The exam grading fairness is basic, but there's room for enhancement. for new students.",1,neutral
346,Feedback: The financial aid processing is adequate and meets basic needs. this semester.,1,neutral
347,Kudos for the great cafeteria food quality – it’s a campus highlight. every week.,2,positive
348,I'm chaotic with the student advising support; it disrupts my daily routine. for new students.,0,negative
349,The library resource availability is wonderful and greatly enhances my campus life. in recent months.,2,positive
350,I'm frustrated by the unreliable course material accessibility; it’s below expectations. based on feedback.,0,negative
351,Why is the campus lighting safety so unreliable? It needs immediate attention. for new students.,0,negative
352,"The financial aid processing is unremarkable, but there's room for enhancement. during peak hours.",1,neutral
353,Love the great wifi network stability; it’s one of the best here. in my experience.,2,positive
354,The course registration process is unacceptable and urgently needs better management. for most students.,0,negative
355,Love the impressive financial aid processing; it’s one of the best here. for most students.,2,positive
356,Feedback: The student lounge comfort is adequate and meets basic needs. in my opinion.,1,neutral
357,"The course registration process is basic, but there's room for enhancement. compared to other campuses.",1,neutral
358,"The course material accessibility is decent, serving its purpose for now. based on feedback.",1,neutral
359,I'm neglected with the food court hygiene; it disrupts my daily routine. in recent months.,0,negative
360,Love the delightful sports facility access; it’s one of the best here. in my opinion.,2,positive
361,"I find the health center services to be basic, nothing exceptional. across campus.",1,neutral
362,The unacceptable state of sports facility access is hindering my campus experience. in my opinion.,0,negative
363,Feedback: The gym equipment condition is acceptable and meets basic needs. this semester.,1,neutral
364,"The sports facility access is substandard, causing constant inconvenience. this semester.",0,negative
365,The campus cleanliness is annoying and urgently needs better management. in recent months.,0,negative
366,The class scheduling conflicts is brilliant and exceeds all expectations. in my opinion.,2,positive
367,I'm dreadful with the lab equipment functionality; it disrupts my daily routine. this semester.,0,negative
368,The class scheduling conflicts is outstanding and exceeds all expectations. in my experience.,2,positive
369,"The campus cleanliness is functional, but could use slight improvements. compared to other campuses.",1,neutral
370,I'm frustrated by the unreliable shuttle bus reliability; it’s below expectations. during peak hours.,0,negative
371,Complaint: The gym equipment condition is dreadful and poorly maintained. in recent months.,0,negative
372,Complaint: The course material accessibility is inadequate and poorly maintained. based on feedback.,0,negative
373,The awful state of dorm room maintenance is hindering my campus experience. in my opinion.,0,negative
374,The campus security measures is brilliant and exceeds all expectations. during peak hours.,2,positive
375,"Regarding sports facility access, it’s typical and fairly standard. based on feedback.",1,neutral
376,The classroom technology is poor and urgently needs better management. compared to other campuses.,0,negative
377,The dorm room maintenance is unreliable and urgently needs better management. every week.,0,negative
378,The student lounge comfort is commendable and exceeds all expectations. across campus.,2,positive
379,I'm neglected with the course material accessibility; it disrupts my daily routine. for new students.,0,negative
380,The terrible state of classroom technology is hindering my campus experience. for most students.,0,negative
381,"I find the health center services to be decent, nothing exceptional. compared to other campuses.",1,neutral
382,Why is the dorm internet speed so substandard? It needs immediate attention. every week.,0,negative
